"filename", "language", "YAML", "comment", "blank", "total"
"/home/d4rkman/Downloads/Files/1.Study/projects/Helvetia/.github/workflows/memory.yml", "YAML", 81, 0, 14, 95
"Total", "-", 81, 0, 14, 95
